,bodyType,color,fuelType,modelDate,name,numberOfDoors,productionDate,vehicleConfiguration,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,ПТС,desr_topic_0,desr_topic_1,desr_topic_2,desr_topic_4,Grp_ID,dist_2_diller_txt,ft_,km_per_year,km_per_year_power,description_l,description_l1,Комплектация_1,enginePower2user,enginePower2liter,name_1,Омыватель фар,Кожа (Материал салона),Парктроник задний,Тонированные стекла,Навигационная система,Электроскладывание зеркал,Тёмный салон,Электропривод крышки багажника,Спортивные передние сиденья,Светодиодные фары,Металлик,Система управления дальним светом,Люк,Камера задняя,"Система помощи при торможении (BAS, EBD)",Диски 18,Диски 19,Голосовое управление,Премиальная аудиосистема,Доводчик дверей,Панорамная крыша / лобовое стекло,Диски 20,CarPlay,Солнцезащитные шторки в задних дверях,Камера 360°,Пневмоподвеска,Беспроводная зарядка для смартфона,Дистанционный запуск двигателя,Система предотвращения столкновения,Система контроля слепых зон,Алькантара (Материал салона),Третий ряд сидений
0,седан,чёрный,дизель,4,520d 2.0d AT (190 л.с.),4,3,SEDAN AUTOMATIC 2.0,автоматическая,2.0,190,158836,задний,Оригинал,0.0,0.0,0.0,0.98,0,0.48292404413223267,1,39709.0,89.40386666666667,518,69,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,63,90.47619047619047,520d,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,седан,белый,дизель,2,318d 2.0d AT (150 л.с.),4,1,SEDAN AUTOMATIC 2.0,автоматическая,2.0,150,10,задний,Оригинал,0.0,0.0,0.0,1.0,0,0.4048914313316345,3,5.0,149.995,1619,238,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,50,71.42857142857143,318d,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,седан,синий,бензин,11,550i xDrive 4.4 AT (407 л.с.) 4WD,4,8,SEDAN AUTOMATIC 4.4,автоматическая,4.4,407,120000,полный,Оригинал,0.08,0.05,0.78,0.03,1,0.2872491180896759,0,13333.333333333334,244.2,31,4,|Элементы экстерьера|Комфорт|Салон|Безопасность|Прочее|Обзор|Мультимедиа|Защита от угона|,136,90.44444444444444,550i,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
3,other,белый,дизель,6,30d 3.0d AT (249 л.с.) 4WD,5,5,ALLROAD_5_DOORS AUTOMATIC 3.0,автоматическая,3.0,249,111466,полный,Оригинал,0.0,0.0,0.0,0.98,0,0.3455594480037689,7,18577.666666666668,156.48322,424,61,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,83,80.32258064516128,30d,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,other,синий,дизель,6,M50d 3.0d AT (381 л.с.) 4WD,5,1,ALLROAD_5_DOORS AUTOMATIC 3.0,автоматическая,3.0,381,11891,полный,Оригинал,0.0,0.0,0.03,0.96,0,0.9349809885025024,2,5945.5,365.89843,1550,233,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,127,122.90322580645162,M50d,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,other,other,дизель,7,30d 3.0d AT (249 л.с.) 4WD,5,7,ALLROAD_5_DOORS AUTOMATIC 3.0,автоматическая,3.0,249,115000,полный,Дубликат,0.03,0.02,0.17,0.75,2,0.3704998195171356,7,14375.0,153.55,99,13,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,83,80.32258064516128,30d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,other,белый,бензин,10,28i xDrive 2.0 AT (245 л.с.) 4WD,5,8,ALLROAD_5_DOORS AUTOMATIC 2.0,автоматическая,2.0,245,130000,полный,Оригинал,0.0,0.0,0.0,0.99,0,0.03363887965679169,0,14444.444444444445,138.83333333333334,661,95,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,82,116.66666666666666,28i,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,other,чёрный,дизель,14,20d 2.0d AT (177 л.с.) 4WD,5,12,ALLROAD_5_DOORS AUTOMATIC 2.0,автоматическая,2.0,177,160000,полный,Оригинал,0.01,0.0,0.0,0.97,0,0.21501187980175018,0,12307.692307692309,82.6,247,35,|Элементы экстерьера|Комфорт|Салон|Безопасность|Прочее|Обзор|Мультимедиа|Защита от угона|,59,84.28571428571428,20d,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,other,чёрный,дизель,10,30d 3.0d AT (245 л.с.) 4WD,5,9,ALLROAD_5_DOORS AUTOMATIC 3.0,автоматическая,3.0,245,170000,полный,Оригинал,0.0,0.0,0.0,0.98,0,0.39791756868362427,7,17000.0,106.16666666666667,532,73,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,82,79.03225806451613,30d,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,седан,белый,бензин,7,520i 2.0 AT (184 л.с.),4,4,SEDAN AUTOMATIC 2.0,автоматическая,2.0,184,110500,задний,Оригинал,0.01,0.01,0.0,0.96,0,0.5119185447692871,7,22100.0,116.22666666666666,189,29,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,61,87.61904761904762,520i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,седан,other,бензин,9,328i 2.0 AT (245 л.с.),4,8,SEDAN AUTOMATIC 2.0,автоматическая,2.0,245,129357,задний,Оригинал,0.0,0.22,0.0,0.78,3,0.44777971506118774,1,14373.0,139.35845,2641,376,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,82,116.66666666666666,328i,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,хэтчбек 3 дв.,белый,бензин,13,116i 1.6 AT (115 л.с.),3,9,HATCHBACK_3_DOORS AUTOMATIC 1.6,автоматическая,1.6,115,96400,задний,Оригинал,0.02,0.02,0.01,0.94,0,0.22033824026584625,0,9640.0,78.04666666666667,146,22,||Комфорт|Салон|Безопасность|||Мультимедиа|Защита от угона|,38,67.6470588235294,116i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,седан,серый,дизель,15,730d 3.0d AT (231 л.с.),4,13,SEDAN AUTOMATIC 3.0,автоматическая,3.0,231,273000,задний,Дубликат,0.0,0.0,0.0,0.98,0,0.21696917712688446,0,19500.0,20.789999999999992,402,40,|Элементы экстерьера|Комфорт|Салон|Безопасность|Прочее|Обзор|Мультимедиа|Защита от угона|,77,74.51612903225806,730d,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,other,чёрный,дизель,10,30d 3.0d AT (245 л.с.) 4WD,5,9,ALLROAD_5_DOORS AUTOMATIC 3.0,автоматическая,3.0,245,124934,полный,Оригинал,0.0,0.0,0.0,0.99,0,0.5123203992843628,8,12493.4,142.97056666666668,662,81,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,82,79.03225806451613,30d,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,седан,чёрный,бензин,12,320i 2.0 AT (156 л.с.),4,9,SEDAN AUTOMATIC 2.0,автоматическая,2.0,156,84363,задний,Оригинал,0.0,0.0,0.0,1.0,0,0.1794588714838028,8,8436.3,112.13124,1747,262,||Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,52,74.28571428571428,320i,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,седан,other,бензин,9,335i 3.0 AT (306 л.с.),4,9,SEDAN AUTOMATIC 3.0,автоматическая,3.0,306,91000,задний,Оригинал,0.0,0.0,0.0,1.0,0,0.3492766320705414,4,9100.0,213.18,2326,307,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,102,98.70967741935483,335i,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,other,чёрный,бензин,14,25i 2.5 AT (218 л.с.) 4WD,5,13,ALLROAD_5_DOORS AUTOMATIC 2.5,автоматическая,2.5,218,137000,полный,Оригинал,0.01,0.0,0.0,0.97,0,0.2655147612094879,0,9785.714285714286,118.44666666666667,237,34,|Элементы экстерьера|Комфорт|Салон|Безопасность|Прочее|Обзор|Мультимедиа|Защита от угона|,73,83.84615384615384,25i,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,седан,other,бензин,9,316i 1.6 AT (136 л.с.),4,6,SEDAN AUTOMATIC 1.6,автоматическая,1.6,136,143000,задний,Оригинал,0.0,0.0,0.0,1.0,0,0.4020025432109833,1,20428.571428571428,71.17333333333333,1971,257,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,45,79.99999999999999,316i,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,other,чёрный,дизель,14,3.0d 3.0d AT (235 л.с.) 4WD,5,12,ALLROAD_5_DOORS AUTOMATIC 3.0,автоматическая,3.0,235,235329,полный,Оригинал,0.0,0.0,0.0,0.98,0,0.33734288811683655,7,18102.23076923077,50.65895000000001,349,48,|Элементы экстерьера|Комфорт|Салон|Безопасность|Прочее|Обзор|Мультимедиа|Защита от угона|,78,75.80645161290322,3.0d,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,other,other,дизель,11,20d 2.0d AT (177 л.с.) 4WD,5,9,ALLROAD_5_DOORS AUTOMATIC 2.0,автоматическая,2.0,177,107000,полный,Оригинал,0.0,0.0,0.0,0.97,0,0.08732421696186066,0,10700.0,113.86999999999999,322,45,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,59,84.28571428571428,20d,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,седан,чёрный,бензин,20,540i 4.4 AT (286 л.с.),4,20,SEDAN AUTOMATIC 4.4,автоматическая,4.4,286,216000,задний,Дубликат,0.0,0.0,0.0,0.99,0,0.1736333966255188,8,10285.714285714286,80.08000000000001,1233,199,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,95,63.55555555555556,540i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,other,серый,дизель,8,20d 2.0d AT (184 л.с.) 4WD,5,6,ALLROAD_5_DOORS AUTOMATIC 2.0,автоматическая,2.0,184,46134,полный,Оригинал,0.0,0.0,0.0,0.99,0,0.46101948618888855,8,6590.571428571428,155.70448,662,81,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,61,87.61904761904762,20d,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,other,серый,дизель,8,30d 3.0d AT (245 л.с.) 4WD,5,8,ALLROAD_5_DOORS AUTOMATIC 3.0,автоматическая,3.0,245,112586,полный,Оригинал,0.0,0.0,0.0,0.99,0,0.435944139957428,7,12509.555555555555,153.05476666666667,549,76,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,82,79.03225806451613,30d,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,хэтчбек 5 дв.,чёрный,бензин,13,116i 1.6 MT (122 л.с.),5,12,HATCHBACK_5_DOORS MECHANICAL 1.6,механическая,1.6,122,170000,задний,Оригинал,0.02,0.02,0.01,0.93,0,0.37158504128456116,7,13076.923076923076,52.86666666666667,126,15,other,41,71.76470588235293,116i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
