,0
0,440000
1,220000
2,530000
3,1050000
4,2135000
5,140000
6,1155000
7,1060000
8,1245000
9,630000
10,1630000
11,250000
12,2315000
13,195000
14,665000
15,1025000
16,115000
17,830000
18,410000
19,2040000
20,1155000
21,1005000
22,4315000
23,5450000
24,1540000
25,595000
26,1515000
27,1325000
28,580000
29,3710000
30,690000
31,1155000
32,640000
33,1155000
34,345000
35,470000
36,470000
37,4450000
38,2450000
39,1335000
40,1070000
41,1690000
42,1245000
43,715000
44,580000
45,4315000
46,2220000
47,1860000
48,1155000
49,845000
50,2450000
51,800000
52,435000
53,880000
54,935000
55,1005000
56,3650000
57,740000
58,4095000
59,495000
60,400000
61,1070000
62,560000
63,2535000
64,3380000
65,350000
66,695000
67,1230000
68,765000
69,445000
70,845000
71,870000
72,845000
73,390000
74,295000
75,280000
76,775000
77,720000
78,125000
79,1630000
80,1475000
81,465000
82,625000
83,1780000
84,2395000
85,670000
86,150000
87,670000
88,830000
89,770000
90,1085000
91,90000
92,490000
93,2310000
94,775000
95,1595000
96,1780000
97,490000
98,1155000
99,6175000
100,580000
101,845000
102,845000
103,1495000
104,725000
105,890000
106,1070000
107,890000
108,420000
109,1235000
110,1050000
111,250000
112,310000
113,535000
114,980000
115,85000
116,1735000
117,730000
118,385000
119,400000
120,490000
121,890000
122,180000
123,2935000
124,1470000
125,1845000
126,280000
127,235000
128,425000
129,490000
130,1560000
131,800000
132,515000
133,2805000
134,1915000
135,220000
136,3650000
137,530000
138,3470000
139,535000
140,400000
141,1200000
142,150000
143,355000
144,710000
145,1780000
146,2760000
147,1475000
148,140000
149,1495000
150,1235000
151,1130000
152,140000
153,3115000
154,2935000
155,1110000
156,250000
157,3000000
158,4445000
159,285000
160,1870000
161,980000
162,2535000
163,1290000
164,100000
165,790000
166,330000
167,625000
168,1255000
169,1760000
170,70000
171,1475000
172,1025000
173,1425000
174,845000
175,605000
176,755000
177,755000
178,1560000
179,1175000
180,2360000
181,1315000
182,400000
183,780000
184,470000
185,1470000
186,3380000
187,340000
188,1310000
189,710000
190,205000
191,310000
192,950000
193,2670000
194,4850000
195,1335000
196,800000
197,220000
198,400000
199,425000
200,1560000
201,920000
202,580000
203,670000
204,500000
205,535000
206,355000
207,250000
208,2215000
209,950000
210,6230000
211,390000
212,625000
213,605000
214,220000
215,250000
216,340000
217,505000
218,1750000
219,115000
220,560000
221,1870000
222,455000
223,775000
224,630000
225,800000
226,265000
227,1960000
228,1825000
229,385000
230,1200000
231,3550000
232,2875000
233,135000
234,1070000
235,2845000
236,400000
237,3740000
238,3650000
239,240000
240,755000
241,90000
242,2225000
243,2225000
244,1025000
245,1110000
246,1200000
247,420000
248,1470000
249,865000
250,670000
251,345000
252,800000
253,1425000
254,5340000
255,500000
256,1515000
257,980000
258,615000
259,625000
260,595000
261,295000
262,1645000
263,535000
264,1415000
265,415000
266,1335000
267,470000
268,1245000
269,670000
270,725000
271,365000
272,890000
273,890000
274,1600000
275,1060000
276,1060000
277,2570000
278,765000
279,840000
280,140000
281,235000
282,400000
283,1185000
284,185000
285,3480000
286,1290000
287,1070000
288,1235000
289,470000
290,180000
291,140000
292,1070000
293,355000
294,1390000
295,535000
296,1335000
297,445000
298,1325000
299,980000
300,1155000
301,490000
302,1245000
303,9850000
304,1230000
305,1290000
306,3710000
307,1155000
308,2850000
309,645000
310,1155000
311,215000
312,1290000
313,625000
314,755000
315,260000
316,960000
317,625000
318,310000
319,1110000
320,670000
321,1025000
322,2760000
323,305000
324,755000
325,960000
326,345000
327,1780000
328,1265000
329,565000
330,1975000
331,1220000
332,295000
333,185000
334,1160000
335,295000
336,1070000
337,1600000
338,1085000
339,935000
340,1110000
341,2395000
342,2760000
343,1170000
344,720000
345,550000
346,2490000
347,740000
348,2225000
349,215000
350,845000
351,45000
352,1425000
353,520000
354,250000
355,1290000
356,435000
357,930000
358,140000
359,1470000
360,2160000
361,835000
362,1065000
363,960000
364,220000
365,765000
366,420000
367,710000
368,4855000
369,610000
370,640000
371,890000
372,670000
373,2945000
374,3550000
375,1645000
376,845000
377,845000
378,1600000
379,1325000
380,970000
381,2190000
382,605000
383,830000
384,775000
385,1200000
386,1680000
387,70000
388,665000
389,630000
390,1050000
391,535000
392,780000
393,1425000
394,1415000
395,2315000
396,845000
397,400000
398,375000
399,560000
400,1600000
401,1200000
402,1025000
403,1290000
404,405000
405,2450000
406,535000
407,1485000
408,845000
409,2755000
410,2450000
411,3470000
412,710000
413,3740000
414,765000
415,545000
416,2980000
417,685000
418,550000
419,415000
420,4005000
421,1295000
422,1110000
423,1375000
424,1425000
425,365000
426,445000
427,115000
428,675000
429,1070000
430,890000
431,140000
432,250000
433,195000
434,2200000
435,2360000
436,980000
437,5810000
438,500000
439,3115000
440,170000
441,1380000
442,845000
443,830000
444,490000
445,1155000
446,755000
447,1220000
448,4450000
449,535000
450,185000
451,855000
452,1290000
453,1655000
454,505000
455,1595000
456,3425000
457,685000
458,2750000
459,3070000
460,380000
461,1110000
462,1360000
463,1780000
464,1070000
465,1245000
466,620000
467,1025000
468,2270000
469,1960000
470,390000
471,435000
472,1115000
473,580000
474,285000
475,2485000
476,625000
477,560000
478,2260000
479,265000
480,2535000
481,1770000
482,4450000
483,710000
484,535000
485,2810000
486,4005000
487,355000
488,1140000
489,980000
490,400000
491,810000
492,505000
493,1380000
494,1110000
495,525000
496,730000
497,625000
498,1590000
499,800000
500,780000
501,1600000
502,1645000
503,240000
504,800000
505,1155000
506,515000
507,2490000
508,2135000
509,1160000
510,3550000
511,535000
512,845000
513,640000
514,1200000
515,535000
516,465000
517,2220000
518,775000
519,1820000
520,720000
521,3295000
522,220000
523,150000
524,790000
525,1425000
526,2385000
527,625000
528,605000
529,1060000
530,785000
531,980000
532,2000000
533,375000
534,535000
535,445000
536,550000
537,1070000
538,2845000
539,1870000
540,935000
541,195000
542,310000
543,1230000
544,710000
545,1735000
546,425000
547,2930000
548,2135000
549,1380000
550,535000
551,1355000
552,605000
553,935000
554,1070000
555,2950000
556,2580000
557,1860000
558,830000
559,345000
560,2890000
561,220000
562,790000
563,625000
564,705000
565,495000
566,1150000
567,2850000
568,710000
569,2775000
570,845000
571,1155000
572,1245000
573,2360000
574,1960000
575,1110000
576,1825000
577,85000
578,890000
579,5590000
580,625000
581,850000
582,1380000
583,1060000
584,1780000
585,1245000
586,255000
587,265000
588,640000
589,2760000
590,845000
591,95000
592,515000
593,180000
594,375000
595,1300000
596,935000
597,1530000
598,1155000
599,260000
600,180000
601,1555000
602,375000
603,415000
604,275000
