ImageId,EncodedPixels
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,19713 1 19716 3 19969 6 20225 6 20481 5 20737 2
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,15365 3 15621 4 15876 6 16132 6 16388 6 16644 6 16900 6 17156 6 17413 5
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,23303 9 23557 12 23813 12 24068 13 24324 13 24580 13 24836 13 25092 13 25348 12 25604 12 25861 9 26117 7 26373 6 26630 3
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,46342 3 46596 6 46852 7 47108 7 47364 7 47620 8 47876 7 48132 7 48388 6 48644 6 48901 4
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,51205 3 51460 4 51716 5 51972 5 52228 5 52484 5 52740 5 52996 6 53252 6 53508 6 53764 6 54020 7 54276 7 54532 7 54788 7 55044 7 55300 6 55557 5 55814 2
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,63003 4 63257 7 63512 11 63768 11 64023 11 64279 11 64535 11 64791 11 65048 9 65304 7
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,59937 2 60189 8 60444 9 60700 9 60955 10 61211 10 61467 10 61723 10 61980 8 62238 6 62496 3
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,31524 4 31779 7 32034 9 32290 10 32546 10 32802 11 33058 11 33314 11 33570 11 33826 11 34082 10 34339 8
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,46375 6 46631 7 46886 9 47142 10 47397 12 47653 13 47909 13 48165 14 48421 14 48677 14 48933 14 49190 12 49446 11 49704 7
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,16426 8 16680 11 16935 12 17191 13 17447 13 17703 12 17959 12 18215 12 18471 12 18727 11 18984 10 19241 8 19498 6
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,38969 6 39224 8 39480 9 39736 9 39992 10 40249 8 40505 8 40762 7 41019 5
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,58682 6 58695 4 58937 8 58949 9 59192 10 59204 11 59448 10 59459 13 59704 10 59715 13 59960 25 60216 9 60226 15 60472 8 60482 15 60728 7 60738 15 60984 6 60994 14 61242 2 61251 13 61507 12 61764 10 62021 7
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,67 5 321 8 576 9 832 9 1088 9 1344 9 1600 9 1856 9 2112 9 2369 7 2628 3
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,38726 7 38981 10 39236 16 39492 20 39747 22 40003 22 40259 22 40516 22 40772 21 41029 20 41287 18 41546 14 41804 11 42063 6
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,55906 1 56159 6 56414 9 56669 11 56924 12 57180 12 57435 13 57691 13 57947 13 58204 11 58460 11 58717 8 58974 5
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,53864 2 54118 6 54374 7 54629 9 54885 10 55141 10 55397 10 55654 9 55911 7 56169 4
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,42858 6 43113 8 43368 10 43624 11 43880 11 44136 12 44392 12 44648 12 44905 11 45161 11 45418 10 45675 9 45931 8 46189 6
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,47230 3 47480 10 47735 12 47991 13 48247 13 48503 14 48760 13 49019 10 49274 11 49530 11 49786 11 50043 10 50300 9 50556 9 50813 8 51069 8 51327 5
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,61826 5 62081 8 62337 10 62593 10 62849 11 63105 11 63361 10 63617 10 63872 11 64129 10 64385 9 64641 8
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,49898 5 50152 8 50407 9 50419 6 50662 10 50674 8 50918 10 50929 9 51167 2 51174 10 51185 9 51421 5 51429 21 51676 7 51685 21 51932 29 52188 19 52209 7 52444 19 52701 17 52957 17 53214 16 53471 14 53728 5 53734 6 53984 3 53992 2
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,31462 4 31717 7 31973 8 32228 10 32484 11 32739 12 32995 12 33251 11 33508 9 33764 8 34021 6
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,15853 1 16109 4 16363 7 16618 9 16874 8 17130 8 17385 8 17640 10 17896 10 18152 11 18408 11 18664 11 18921 10 19178 9
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,33267 5 33522 7 33776 10 34031 11 34287 12 34542 13 34799 12 35055 11 35311 11 35568 9 35826 3
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,62716 4 62970 7 63225 8 63480 9 63736 9 63991 10 64247 10 64503 10 64760 9 65016 9 65272 9 65528 9
fac507fa4d1649e8b24c195d990f1fc3ca3633d917839e1751a9d412a14ab5e3,31999 2 32253 4 32508 5 32764 5 33020 5 33276 5 33533 4 33789 4 34046 3 34302 3 34559 2
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,83842 1 84365 3 84889 3 85413 4 85937 4 86461 5 86985 5 87509 5 88033 5 88557 4 89081 3 89605 3 90130 2
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,99562 1 100085 6 100609 7 101133 9 101657 9 102181 9 102705 9 103229 9 103753 9 104277 8 104801 7 105325 6 105849 6 106373 5 106897 5 107421 5 107945 5 108469 5 108993 5 109517 4 110042 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,79668 3 80191 8 80714 11 81236 13 81758 15 82281 16 82804 17 83327 18 83850 17 84374 17 84898 17 85423 14 85947 14 86472 12 86997 10 87524 4
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,40370 1 40892 5 41414 9 41938 9 42462 10 42985 12 43509 12 44032 13 44556 13 45080 13 45604 13 46128 13 46652 12 47176 11 47700 11 48224 11 48748 11 49271 12 49795 12 50319 12 50842 13 51366 13 51890 13 52414 13 52938 13 53462 13 53986 13 54510 13 55034 13 55558 12 56082 11 56606 11 57131 10 57655 10 58180 9 58704 9 59228 7 59752 6
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,148325 6 148848 8 149372 9 149894 11 150418 12 150942 11 151466 11 151989 12 152503 3 152511 14 153025 24 153548 24 154072 24 154596 23 155121 22 155646 21 156172 19 156699 14 157225 12 157750 10 158274 9 158800 7
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,11552 5 12076 5 12600 6 13124 7 13648 7 14172 7 14696 7 15220 7 15744 7 16268 7 16792 6 17316 5 17840 5 18364 5 18888 5
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,3733 5 4257 6 4780 8 5303 10 5827 10 6350 11 6874 11 7398 11 7922 11 8445 12 8968 13 9492 12 10016 13 10540 12 11064 12 11587 13 12111 13 12635 13 13159 13 13682 14 14206 14 14730 13 15253 14 15777 14 16300 14 16824 14 17348 13 17872 12 18396 10 18920 10 19444 9 19968 8 20492 7 21016 7 21541 4
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,24177 5 24700 8 25223 10 25747 11 26271 11 26795 11 27319 12 27843 12 28367 12 28891 12 29415 12 29939 11 30463 12 30987 12 31511 12 32035 12 32559 12 33083 12 33607 11 34133 8 34658 7 35183 5
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,13726 5 14250 6 14773 9 15297 10 15820 11 16344 11 16868 11 17392 11 17916 11 18440 11 18965 10 19489 10 20014 9 20538 8 21062 6 21586 6 22110 6 22636 3
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,25254 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,63517 4 64039 6 64562 6 65086 6 65610 4 66133 4 66657 4 67181 3
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,34176 6 34699 9 35222 11 35746 12 36270 14 36794 14 37318 14 37842 14 38366 14 38890 14 39414 14 39938 12 40462 12 40987 10 41512 9 42037 6
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,102827 4 103350 6 103872 10 104396 11 104920 11 105444 11 105968 11 106492 10 107016 10 107540 9 108065 7 108590 5 109114 5 109640 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,148949 7 149471 10 149994 13 150518 13 151042 13 151566 14 152090 15 152614 15 153138 15 153662 14 154186 14 154710 14 155234 14 155758 14 156282 13 156808 11 157334 10 157860 8 158387 8 158910 11 159433 12 159956 14 160480 14 161004 14 161527 15 162050 16 162574 16 163098 16 163622 16 164146 15 164670 15 165194 15 165718 15 166242 15 166768 13 167292 12 167816 11 168340 11 168864 11 169390 7 169915 6 170441 3
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,122757 9 123280 12 123804 12 124328 12 124851 13 125375 14 125898 15 126422 15 126946 14 127470 14 127994 14 128518 14 129042 14 129566 14 130089 14 130613 14 131137 13 131661 13 132186 11 132710 10 133236 7
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,79797 5 80320 10 80843 11 81366 13 81890 14 82413 15 82937 15 83461 15 83985 15 84509 15 85033 15 85557 15 86081 15 86605 15 87128 16 87652 16 88176 14 88700 14 89225 13 89749 12 90274 10 90799 8 91325 3
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,102860 8 103383 10 103905 12 104429 13 104953 13 105477 13 106000 14 106524 14 107048 14 107572 14 108096 14 108620 14 109143 15 109667 15 110191 14 110715 13 111239 13 111763 13 112289 10 112813 9 113339 3
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,37891 4 38413 7 38936 9 39459 10 39983 11 40507 11 41030 12 41553 13 42077 13 42601 13 43125 13 43649 13 44173 12 44697 11 45221 11 45745 11 46268 12 46791 13 47315 13 47839 13 48363 13 48887 13 49411 13 49935 13 50459 13 50983 13 51507 13 52031 13 52557 10 53081 10 53605 10 54130 8 54655 7 55179 6 55704 4
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,79819 6 80343 8 80866 10 81389 11 81913 11 82437 11 82961 11 83485 12 84009 12 84533 12 85057 12 85581 12 86105 12 86629 12 87153 11 87677 11 88201 11 88726 9 89251 7
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,162090 4 162612 8 163135 10 163659 10 164183 11 164707 11 165231 12 165755 12 166279 12 166803 13 167327 14 167851 14 168375 13 168899 12 169425 10 169950 8 170476 3
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,57291 6 57815 7 58338 9 58861 11 59385 12 59909 12 60433 12 60957 12 61481 12 62005 12 62529 12 63053 12 63577 12 64101 12 64625 12 65149 12 65673 11 66197 11 66721 10 67245 9 67771 7
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,3351 6 3874 9 4396 13 4920 14 5444 14 5968 14 6492 14 7016 14 7540 14 8064 14 8588 14 9112 14 9636 15 10160 15 10686 13 11210 13 11734 12 12260 9 12786 6
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,16980 2 17498 10 18020 12 18544 14 19068 14 19592 14 20116 14 20640 14 21164 14 21688 14 22212 14 22736 14 23260 14 23784 14 24308 14 24833 12 25358 11 25883 8 26410 2
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,160559 10 161082 12 161605 14 162128 16 162652 15 163175 16 163699 16 164223 15 164747 15 165272 14 165796 13 166320 12 166844 12 167368 12 167892 12 168416 12 168940 12 169464 12 169987 13 170511 13 171035 13 171558 14 172082 14 172607 13 173132 11 173656 10 174184 3
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,42662 4 43185 7 43708 10 44230 12 44753 13 45276 14 45800 14 46324 14 46848 14 47371 15 47896 14 47924 3 48420 14 48441 11 48944 14 48963 15 49468 34 49992 34 50516 34 51040 34 51564 34 52088 34 52612 33 53136 32 53662 12 53678 14 54187 9 54202 14 54713 5 54727 13 55251 13 55776 12 56301 9 56825 8
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,176806 8 177328 12 177850 15 178374 15 178897 16 179422 15 179946 15 180469 15 180992 16 181517 15 182043 13
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,135413 6 135936 8 136458 11 136982 11 137505 13 138029 13 138553 14 139077 14 139601 14 140125 14 140649 14 141173 14 141697 14 142221 14 142745 15 143269 15 143794 14 144318 14 144842 14 145366 14 145891 13 146416 12 146940 11 147465 10 147990 8 148516 5
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,103462 6 103984 9 104507 11 105030 13 105554 13 106078 14 106602 14 107125 15 107649 15 108173 15 108696 16 109219 17 109742 18 110264 20 110787 21 111309 23 111832 24 112356 23 112879 23 113403 23 113926 22 114450 21 114974 20 115499 18 116024 15 116548 13 117072 11 117598 6
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,14370 6 14894 7 15418 7 15941 8 16465 8 16989 9 17514 8 18038 9 18562 9 19086 9 19610 9 20134 9 20658 8 21183 6 21709 3
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,70467 6 70989 9 71512 12 72035 14 72559 14 73083 15 73607 15 74131 15 74655 16 75179 17 75703 16 76228 14 76753 13 77279 9 77804 8 78331 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,89333 8 89854 11 90377 13 90901 13 91424 15 91948 15 92472 15 92997 13 93521 13 94045 13 94569 13 95093 13 95617 13 96142 12 96667 10 97191 9 97716 8 98242 4
